d,r,n,|A|,|A+A|
4,2,33,1089,409140
4,3,33,965,386659
4,4,33,1089,510398
4,5,33,865,335361
4,6,33,1089,542849
4,7,33,1058,513416
4,8,33,1089,543843
4,9,33,961,426385
2,2,34,1156,470033
2,3,34,793,265622
2,4,34,1156,579716
2,5,34,925,384116
2,6,34,1156,606149
2,7,34,991,451705
2,8,34,1156,615742
2,9,34,1024,485101
3,2,34,868,281706
3,3,34,1156,549502
3,4,34,859,323792
3,5,34,1092,538301
3,6,34,1156,606608
3,7,34,991,451512
3,8,34,1124,585580
3,9,34,1156,617302
4,2,34,1156,464396
4,3,34,1028,440581
4,4,34,1156,576582
4,5,34,925,383955
4,6,34,1156,613008
4,7,34,1124,579473
4,8,34,1156,613964
4,9,34,1024,485035
2,2,35,1225,531544
2,3,35,817,283383
2,4,35,1225,652662
2,5,35,987,437881
2,6,35,1225,682287
2,7,35,1055,512829
2,8,35,1225,692380
2,9,35,1089,549628
3,2,35,928,323646
3,3,35,1225,619200
3,4,35,919,371580
3,5,35,1159,607326
3,6,35,1225,682793
3,7,35,1055,512597
3,8,35,1192,659764
3,9,35,1225,694478
4,2,35,1225,524680
4,3,35,1093,499875
4,4,35,1225,649831
4,5,35,987,437715
4,6,35,1225,689758
4,7,35,1192,653201
4,8,35,1225,690162
4,9,35,1089,549560
2,2,36,1296,599043
2,3,36,876,326410
2,4,36,1296,732725
2,5,36,1051,497169
2,6,36,1296,765461
2,7,36,1121,579964
2,8,36,1296,775934
2,9,36,1156,620411
3,2,36,990,370096
3,3,36,1296,695729
3,4,36,981,424408
3,5,36,1228,682748
3,6,36,1296,765982
3,7,36,1121,579725
3,8,36,1262,740803
3,9,36,1296,778596
4,2,36,1296,592414
4,3,36,1160,564423
4,4,36,1296,729566
4,5,36,1051,496701
4,6,36,1296,773533
4,7,36,1262,733802
4,8,36,1296,774148
4,9,36,1156,620069
2,2,37,1369,672881
2,3,37,937,373997
2,4,37,1369,819564
2,5,37,1117,562009
2,6,37,1369,855173
2,7,37,1189,653529
2,8,37,1369,866949
2,9,37,1225,697808
3,2,37,1054,421165
3,3,37,1369,778607
3,4,37,1045,482386
3,5,37,1299,765093
3,6,37,1369,855745
3,7,37,1189,653283
3,8,37,1334,829108
3,9,37,1369,869924
4,2,37,1369,664881
4,3,37,1229,635782
4,4,37,1369,815825
4,5,37,1081,527032
4,6,37,1369,863763
4,7,37,1334,821455
4,8,37,1369,865589
4,9,37,1225,697176
2,2,38,1444,753447
2,3,38,963,396800
2,4,38,1444,913676
2,5,38,1148,595335
2,6,38,1444,952614
2,7,38,1259,733923
2,8,38,1444,966141
2,9,38,1296,781969
3,2,38,1084,449055
3,3,38,1444,869063
3,4,38,1074,511271
3,5,38,1372,854640
3,6,38,1444,952748
3,7,38,1222,691531
3,8,38,1408,924926
